Brentford 	2 - 0	 Arsenal
Manchester_Utd 	5 - 1	 Leeds_Utd
Burnley 	1 - 2	 Brighton
Chelsea 	3 - 0	 Crystal_Palace
Everton 	3 - 1	 Southampton
Leicester_City 	1 - 0	 Wolverhampton
Watford 	3 - 2	 Aston_Villa
Norwich_City 	0 - 3	 Liverpool
Newcastle_Utd 	2 - 4	 West_Ham_Utd
Tottenham 	1 - 0	 Manchester_City
Liverpool 	2 - 0	 Burnley
Aston_Villa 	2 - 0	 Newcastle_Utd
Crystal_Palace 	0 - 0	 Brentford
Leeds_Utd 	2 - 2	 Everton
Manchester_City 	5 - 0	 Norwich_City
Brighton 	2 - 0	 Watford
Southampton 	1 - 1	 Manchester_Utd
Wolverhampton 	0 - 1	 Tottenham
Arsenal 	0 - 2	 Chelsea
West_Ham_Utd 	4 - 1	 Leicester_City
Manchester_City 	5 - 0	 Arsenal
Aston_Villa 	1 - 1	 Brentford
Brighton 	0 - 2	 Everton
Newcastle_Utd 	2 - 2	 Southampton
Norwich_City 	1 - 2	 Leicester_City
West_Ham_Utd 	2 - 2	 Crystal_Palace
Liverpool 	1 - 1	 Chelsea
Burnley 	1 - 1	 Leeds_Utd
Tottenham 	1 - 0	 Watford
Wolverhampton 	0 - 1	 Manchester_Utd
Crystal_Palace 	3 - 0	 Tottenham
Arsenal 	1 - 0	 Norwich_City
Brentford 	0 - 1	 Brighton
Leicester_City 	0 - 1	 Manchester_City
Manchester_Utd 	4 - 1	 Newcastle_Utd
Southampton 	0 - 0	 West_Ham_Utd
Watford 	0 - 2	 Wolverhampton
Chelsea 	3 - 0	 Aston_Villa
Leeds_Utd 	0 - 3	 Liverpool
Everton 	3 - 1	 Burnley
Newcastle_Utd 	1 - 1	 Leeds_Utd
Wolverhampton 	0 - 2	 Brentford
Burnley 	0 - 1	 Arsenal
Liverpool 	3 - 0	 Crystal_Palace
Manchester_City 	0 - 0	 Southampton
Norwich_City 	1 - 3	 Watford
Aston_Villa 	3 - 0	 Everton
